date,word,jumbles
2022-03-12 15:21:00,conserve,['converse']
2022-03-12 15:21:00,daiso,['adios']
2022-03-12 15:21:00,how're,['whore']
2022-03-12 15:21:00,hips,['ship']
2022-03-12 15:21:00,tips,"['pits', 'spit']"
2022-03-13 21:19:00,|newt||,['0. ra']
2022-03-13 21:19:00,"|tear, tear||",['1. ed']
2022-03-13 21:19:00,"|tide, diet||",['2. mo']
2022-03-14 02:55:00,spades,['passed']
2022-03-15 01:42:00,views,['wives']
2022-03-15 01:42:00,ew,['we']
2022-03-16 13:59:00,incest,"['insect', 'nicest']"
2022-03-17 12:37:00,elvis,"['lives', 'veils', 'evils', 'levis']"
2022-03-17 12:37:00,fidel (as in castro),"['filed', 'field', 'flied']"
2022-03-17 12:37:00,crony,['corny']
2022-03-17 12:37:00,said,['aids']
2022-03-17 12:37:00,cmu,['cum']
2022-03-17 12:37:00,came,['mace']
2022-03-17 12:37:00,cats,"['cast', 'scat', 'acts', 'tacs']"
2022-03-18 19:54:00,warp,['wrap']
2022-03-19 12:54:00,side,"['dies', 'desi']"
2022-03-19 12:54:00,slide,['delis']
2022-03-20 02:05:00,trash,['shart']
2022-03-20 02:05:00,emily,"['limey', 'miley']"
2022-03-20 02:05:00,poas,"['soap', 'paso']"
2022-03-20 02:05:00,neon,['none']
2022-03-20 02:05:00,ssa (samyukta sridharan athreya),['ass']
2022-03-20 02:05:00,betas,"['beast', 'beats']"
2022-03-23 11:56:00,nancy,['canny']
2022-03-24 12:14:00,roman,"['manor', 'norma']"
2022-03-24 12:14:00,hats,['shat']
2022-03-24 12:14:00,harts,"['shart', 'trash']"
2022-03-25 01:13:00,casted,['cadets']
2022-03-25 01:13:00,upset,"['setup', 'stupe']"
2022-03-26 17:44:00,bart,['brat']
2022-03-27 01:14:00,nasty,['antsy']
2022-03-27 01:14:00,ram (hariom),['arm']
2022-03-27 01:14:00,simone,['monies']
2022-03-27 01:14:00,avid,['diva']
2022-03-27 01:14:00,denim,['mined']
2022-03-27 01:14:00,meat,"['mate', 'team', 'tame', 'meta']"
2022-03-27 01:14:00,arya,"['yaar', 'aray']"
2022-03-27 01:14:00,gel,['leg']
2022-03-27 01:14:00,angel,['angle']
2022-03-27 01:14:00,rhea,"['hear', 'hare']"
2022-03-28 12:50:00,inert,"['inter', 'trine']"
2022-03-29 12:54:00,golden,"['longed', 'dongle']"
2022-03-29 12:54:00,student,['stunted']
2022-03-29 12:54:00,ride,['dire']
2022-03-30 23:59:00,senior,['nosier']
2022-03-30 23:59:00,fender,['nerfed']
2022-04-01 01:25:00,rio,"['oir', 'ori']"
2022-04-01 01:25:00,may,"['amy', 'yam']"
2022-04-01 01:25:00,tori,"['riot', 'roti']"
2022-04-02 14:17:00,ought,['tough']
2022-04-03 14:31:00,pepsi,['pipes']
2022-04-04 12:11:00,itself,"['stifle', 'filets', 'fliest']"
2022-04-04 12:11:00,mope,['poem']
2022-04-04 12:11:00,exist,['exits']
2022-04-04 12:11:00,demand,['damned']
2022-04-05 13:22:00,siren,['risen']
2022-04-05 13:22:00,barley,"['barely', 'bleary']"
2022-04-08 01:05:00,lust,['slut']
2022-04-11 13:50:00,strait,"['artist', 'traits']"
2022-04-14 01:33:00,rubies,"['busier', 'buries']"
2022-04-14 01:33:00,gnat,['tang']
2022-04-14 01:33:00,gnats,"['angst', 'stang', 'tangs']"
2022-04-15 16:41:00,vector,['covert']
2022-04-16 18:45:00,seldom,['models']
2022-04-19 03:35:00,forensic,"['conifers', 'fornices']"
2022-04-19 03:35:00,pan,['nap']
2022-04-28 13:29:00,siri,['iris']
2022-05-03 19:05:00,sip,['psi (pressure per square inch)']
2022-05-03 19:05:00,caution,['auction']
2022-05-08 23:53:00,say,['yas']
2022-05-08 23:53:00,setting,['testing']
2022-05-09 12:13:00,compliant,['complaint']
2022-05-13 17:47:00,gals,['lags']
2022-05-13 17:47:00,gala,['alga']
2022-05-20 11:46:00,satchel,['latches']
2022-05-22 18:48:00,arise,"['aries', 'raise']"
2022-05-22 18:48:00,nail,['lain']
2022-05-22 18:48:00,snail,"['nails', 'slain']"
2022-05-22 18:48:00,need,['eden']
2022-05-22 18:48:00,scares,['caress']
2022-05-22 18:48:00,tange,['agent']
2022-05-27 02:07:00,shotgun,['gunshot']
2022-05-28 22:05:00,snap,"['naps', 'pans', 'span']"
2022-05-29 21:41:00,early,"['layer', 'relay']"
2022-05-29 21:41:00,scratch,"['charts', 'starch']"
2022-05-30 23:43:00,signal,['aligns']
2022-06-02 19:20:00,green,['genre']
2022-06-04 16:40:00,aprils,['spiral']
2022-06-04 16:40:00,seahorse,['seashore']
2022-06-04 16:40:00,sore,"['ores', 'rose', 'eros']"
2022-06-06 15:35:00,sector,"['corset', 'escort']"
2022-06-06 15:35:00,medical,['claimed']
2022-06-07 12:58:00,finger,['fringe']
2022-06-08 01:44:00,trios,['riots']
2022-06-08 01:44:00,roid,['dior']
2022-06-09 01:18:00,se,['es']
2022-06-10 03:29:00,complied,['compiled']
2022-06-10 03:29:00,girdle,['glider']
2022-06-11 12:14:00,ghost,['goths']
2022-06-11 12:14:00,shot,"['hots', 'host']"
2022-06-11 12:14:00,slayed 💅,['delays']
2022-06-11 12:14:00,lake,"['leak', 'kale']"
2022-06-12 20:34:00,venom,['venmo']
2022-06-12 20:34:00,sport,['ports']
2022-06-12 20:34:00,spark,['parks']
2022-06-13 14:00:00,sent,"['nets', 'tens']"
2022-06-17 12:24:00,scrap,['craps']
2022-06-18 02:57:00,loins,['lions']
2022-06-18 02:57:00,ails,['sail']
2022-06-18 02:57:00,stare,"['tears', 'tares', 'taser', 'rates']"
2022-06-18 02:57:00,starer,['arrest']
2022-06-18 02:57:00,crate,"['cater', 'react', 'trace', 'caret']"
2022-06-18 02:57:00,person,['prones']
2022-06-18 02:57:00,coexist,['exotics']
2022-06-18 02:57:00,lore,['role']
2022-06-20 15:07:00,face,['cafe']
2022-06-20 15:07:00,save,['vase']
2022-06-20 15:07:00,artemis,['smartie']
2022-06-20 15:07:00,crater,"['tracer', 'carter']"
2022-06-22 20:12:00,trifle,"['filter', 'lifter']"
2022-06-22 20:12:00,file,['life']
2022-06-23 13:15:00,files,['flies']
2022-06-23 13:15:00,halsey,['ashley']
2022-06-23 13:15:00,plains,['spinal']
2022-06-23 13:15:00,hostel,['hotels']
2022-06-24 03:01:00,cavern,"['carven', 'craven']"
2022-06-24 03:01:00,butt sex,['subtext']
2022-06-24 03:01:00,anal,"['lana', 'alan', 'nala']"
2022-06-26 02:26:00,novels,['sloven']
2022-06-26 02:26:00,pilots,"['pistol', 'spoilt']"
2022-06-26 02:26:00,advil,"['valid 🌈', 'vidal', 'vilda']"
2022-06-26 02:26:00,stud,['dust']
2022-06-27 01:52:00,tension,['intones']
2022-06-27 01:52:00,tinker,['reknit']
2022-06-27 01:52:00,article,['recital']
2022-06-27 01:52:00,articles,"['recitals', 'sterical']"
2022-06-28 12:29:00,atheists,"['hastiest', 'staithes']"
2022-06-28 12:29:00,regrading,['regarding']
2022-06-29 21:43:00,ward,['draw']
2022-06-30 01:43:00,bestial,['ableist']
2022-06-30 01:43:00,natives,"['naivest', 'vainest']"
2022-06-30 01:43:00,itch,['chit']
2022-07-01 23:39:00,marsh,['harms']
2022-07-01 23:39:00,marsha,['sharma']
2022-07-01 23:39:00,,['6. ma']
2022-07-01 23:39:00,"|sham, hams||",['7. sma']
2022-07-05 21:23:00,ranks,"['snark', 'narks']"
2022-07-07 17:27:00,usps,['puss']
2022-07-08 10:12:00,slurpee,['repulse']
2022-07-09 12:13:00,mutagen,['augment']
2022-07-09 12:13:00,aside,"['ideas', 'aides', 'sadie']"
2022-07-11 10:00:00,cline,['incel']
2022-07-11 10:00:00,lobing,['goblin']
2022-07-11 10:00:00,demo,"['mode', 'dome']"
2022-07-11 10:00:00,blister,"['bristle', 'riblets']"
2022-07-11 10:00:00,sean,['sane']
2022-07-11 10:00:00,run,['urn']
2022-07-11 10:00:00,plea,"['leap', 'pale']"
2022-07-12 09:15:00,onside,"['edison', 'noised']"
2022-07-12 09:15:00,first,"['rifts', 'frits']"
2022-07-12 09:15:00,defiant,['fainted']
2022-07-12 09:15:00,barre,"['rebar', 'barer']"
2022-07-12 09:15:00,triples,['resplit']
2022-07-12 09:15:00,triplets,['splitter']
2022-07-12 09:15:00,writhe,"['whiter', 'wither']"
2022-07-12 09:15:00,lactose,"['locates', 'talcose']"
2022-07-13 09:00:00,source,['course']
2022-07-13 09:00:00,sources,"['sucrose', 'courses']"
2022-07-13 09:00:00,canister,['scantier']
2022-07-13 09:00:00,canisters,['scenarist']
2022-07-13 09:00:00,ascertain,"['sectarian', 'craniates']"
2022-07-13 09:00:00,turbine,['tribune']
2022-07-13 09:00:00,mirage,"['gamier', 'imager']"
2022-07-14 09:23:00,reading,"['grained', 'deraign']"
2022-07-14 09:23:00,latent,['talent']
2022-07-14 09:23:00,purest,['erupts']
2022-07-15 09:14:00,ingest,"['tinges', 'stinge']"
2022-07-15 09:14:00,gelatin,"['genital', 'elating']"
2022-07-15 09:14:00,gelatins,"['stealing', 'genitals']"
2022-07-15 09:14:00,gradient,['treading']
